0 0 0 0
100 100 2499 100
200 200 10142 200
300 300 23282 300
400 400 40008 400
500 500 59439 500
600 600 92967 600
700 700 124032 700
800 800 158915 800
900 900 202976 900
1000 1000 256761 1000
1100 1100 302556 1100
1200 1200 357426 1200
1300 1300 417639 1300
1400 1400 478077 1400
1500 1500 567502 1500
1600 1600 623317 1600
1700 1700 745850 1700
1800 1800 798988 1800
1900 1900 908569 1900
2000 2000 980414 2000
2100 2100 1119743 2100
2200 2200 1218602 2201
2300 2300 1321598 2300
2400 2400 1458350 2400
2500 2500 1567966 2501
2600 2600 1677769 2602
2700 2700 1790790 2701
2800 2800 1971860 2804
2900 2900 2078248 2900
3000 3000 2187468 3001
3100 3100 2362039 3101
3200 3200 2599814 3201
3300 3300 2713299 3301
3400 3400 2950176 3402
3500 3500 3108858 3503
3600 3600 3263078 3601
3700 3700 3422791 3705
3800 3800 3609739 3803
3900 3900 3802608 3902
4000 4000 4038825 4005
4100 4100 4162739 4103
4200 4200 4378244 4208
4300 4300 4599692 4308
4400 4400 4808713 4407
4500 4500 5087700 4505
4600 4600 5246294 4605
4700 4700 5459999 4710
4800 4800 5823513 4810
4900 4900 6066242 4910
5000 5000 6253679 5006
5100 5100 6584413 5110
5200 5200 6747150 5211
5300 5300 6998590 5307
5400 5400 7234562 5411
5500 5500 7544297 5508
5600 5600 7847479 5621
5700 5700 8099552 5710
5800 5800 8483892 5823
5900 5900 8714664 5922
6000 6000 9163497 6017
6100 6100 9275691 6126
6200 6200 9630466 6219
6300 6300 9926289 6315
6400 6400 10178065 6422
6500 6500 10595819 6538
6600 6600 10850826 6629
6700 6700 11293448 6718
6800 6800 11400637 6828
6900 6900 11975930 6936
7000 7000 12086345 7033
7100 7100 12788078 7137
7200 7200 13121696 7235
7300 7300 13289827 7344
7400 7400 13568158 7434
7500 7500 13916183 7550
7600 7600 14305221 7636
7700 7700 14994206 7747
7800 7800 15012606 7855
7900 7900 15484052 7952
8000 8000 15894216 8055
8100 8100 16539651 8153
8200 8200 16683478 8256
8300 8300 17340053 8355
8400 8400 17701907 8454
8500 8500 18039778 8563
8600 8600 18568265 8676
8700 8700 18953029 8776
8800 8800 19205029 8864
8900 8900 19720064 8964
9000 9000 20156271 9088
9100 9100 20530644 9179
9200 9200 20972467 9282
9300 9300 21400164 9414
9400 9400 21970767 9492
9500 9500 22369194 9611
9600 9600 23103641 9710
9700 9700 23479207 9819
9800 9800 23989013 9908
9900 9900 24200993 10033
